City,Cloudiness,Countries,Temp,Humidity,Wind Speed,Lat,Lng
Rikitea,100,PF,77.07,84,10.63,-23.12,-134.97
Souillac,20,MU,71.6,88,3.36,-20.52,57.52
Shīeli,91,KZ,69.49,41,8.59,44.17,66.75
Lebu,96,CL,57.94,96,6.49,-37.62,-73.65
Pisco,4,PE,68.0,77,9.17,-13.7,-76.22
Belaya Gora,9,RU,37.02,79,7.87,68.53,146.42
Busselton,100,AU,51.01,56,6.51,-33.65,115.33
Jamestown,1,US,66.99,45,5.82,42.1,-79.24
Egvekinot,11,RU,28.24,96,14.36,66.32,-179.17
San Cristobal,20,VE,93.2,34,20.8,7.77,-72.22
Avarua,40,CK,82.4,74,14.99,-21.21,-159.78
Chui,0,UY,64.31,68,12.93,-33.7,-53.46
Puerto Ayora,40,EC,82.4,65,11.41,-0.74,-90.35
Roald,100,NO,41.0,86,20.8,62.58,6.13
Upernavik,7,GL,31.05,97,11.59,72.79,-56.15
Bengkulu,100,ID,77.63,84,4.61,-3.8,102.27
Castro,0,BR,54.03,62,1.79,-24.79,-50.01
Mataura,0,NZ,45.25,73,1.83,-46.19,168.86
Albany,51,US,72.0,40,4.32,42.6,-73.97
Hasaki,75,JP,64.0,100,6.93,35.73,140.83
Rio Grande,0,BR,64.58,70,13.27,-32.03,-52.1
Qaanaaq,0,GL,29.8,93,2.46,77.48,-69.36
Meulaboh,100,ID,76.08,95,10.71,4.14,96.13
Vaini,75,TO,77.0,78,5.82,-21.2,-175.2
Hilo,90,US,82.4,58,13.87,19.73,-155.09
Cape Town,14,ZA,50.0,87,1.12,-33.93,18.42
Batangafo,64,CF,73.78,89,7.9,7.3,18.28
Palmer,20,US,72.0,37,4.7,42.16,-72.33
Tymovskoye,83,RU,36.81,81,10.02,50.85,142.66
Paita,0,PE,72.18,74,18.66,-5.09,-81.11
Bredasdorp,0,ZA,42.8,87,3.36,-34.53,20.04
Port Elizabeth,1,ZA,48.2,93,5.82,-33.92,25.57
Impfondo,11,CG,73.98,83,1.3,1.64,18.07
Thinadhoo,76,MV,85.01,75,19.28,0.53,72.93
Price,1,US,73.4,29,6.93,39.6,-110.81
Ushuaia,87,AR,36.46,83,6.26,-54.8,-68.3
Zhoucheng,0,CN,63.77,72,5.7,35.91,116.31
Payakumbuh,100,ID,71.96,89,1.97,-0.22,100.63
Morón,0,AR,73.99,50,1.99,-34.65,-58.62
Pevek,0,RU,33.48,91,4.05,69.7,170.31
Punta Arenas,90,CL,42.8,87,5.82,-53.15,-70.92
Thompson,40,CA,60.8,25,13.87,55.74,-97.86
Mahébourg,20,MU,71.6,88,3.36,-20.41,57.7
Banda Aceh,100,ID,78.55,86,11.5,5.56,95.32
Buala,4,SB,84.34,74,5.53,-8.14,159.59
Arenápolis,83,BR,72.75,77,4.07,-14.45,-56.85
Omsukchan,75,RU,33.64,92,8.63,62.53,155.8
Northam,100,GB,53.01,87,4.0,51.03,-4.22
Tromsø,7,NO,37.4,64,9.17,69.65,18.96
Sibolga,100,ID,78.69,84,2.59,1.74,98.78
Talnakh,75,RU,37.4,86,20.13,69.49,88.4
Bluff,55,NZ,48.52,86,9.35,-46.6,168.33
Ugoofaaru,100,MV,84.24,77,13.94,5.67,73.0
Tall Kayf,0,TR,82.4,34,4.7,37.08,41.07
Port Alfred,42,ZA,57.99,69,7.0,-33.59,26.89
Fort Nelson,75,CA,48.2,36,6.93,58.81,-122.7
Bambanglipuro,94,ID,78.57,86,8.68,-7.95,110.28
Aklavik,90,CA,30.2,68,10.29,68.22,-135.01
Porteirinha,46,BR,72.88,82,1.83,-15.74,-43.03
Mount Gambier,0,AU,33.8,100,4.7,-37.83,140.77
Valdosta,20,US,87.8,40,5.82,30.83,-83.28
San Quintín,63,MX,67.39,68,8.01,30.48,-115.95
Guerrero Negro,3,MX,71.08,56,18.95,27.98,-114.06
Alta Floresta,20,BR,84.2,74,2.24,-9.88,-56.09
Yellowknife,75,CA,33.8,50,16.11,62.46,-114.35
Kapaa,20,US,80.6,74,10.29,22.08,-159.32
Barrow,90,US,26.6,79,10.29,71.29,-156.79
Marabu,75,MY,78.8,94,3.36,4.41,114.01
Hihyā,68,EG,80.6,42,6.93,30.67,31.59
Bambous Virieux,20,MU,72.0,88,3.36,-20.34,57.76
Mehamn,100,NO,33.62,94,10.76,71.04,27.85
Saint-Augustin,76,CA,41.18,71,3.53,51.23,-58.65
Itarema,89,BR,78.08,88,6.89,-2.92,-39.92
Khatanga,77,RU,34.75,89,12.73,71.97,102.5
Chokurdakh,0,RU,25.09,97,7.61,70.63,147.92
Aasiaat,1,GL,35.15,87,7.47,68.71,-52.87
Mar del Plata,19,AR,73.0,59,5.82,-38.0,-57.56
Nānākuli,20,US,87.8,45,13.87,21.39,-158.15
Kūhdasht,0,IR,69.87,27,5.35,33.53,47.61
Bonga,86,ET,59.5,90,1.03,7.28,36.23
Goderich,20,CA,53.01,90,5.99,43.75,-81.72
Vardø,75,NO,33.8,95,3.36,70.37,31.11
Września,32,PL,48.99,72,1.99,52.33,17.57
Havøysund,100,NO,33.8,94,10.29,71.0,24.66
